PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
386,P82034,0403040W0AAAAAA,28,4,8.60245
387,P82034,0403040W0AAAAAA,4,1,0.40224
388,P82034,0403040W0AAABAB,28,3,19.49452
389,P82034,0403040W0AAABAB,56,2,25.5492
390,P82034,0403040W0AAADAD,14,1,1.44939
391,P82034,0403040W0AAADAD,28,1,2.68638
392,P82034,0403040W0AAADAD,84,1,8.03435
393,P82034,0403040W0AAAEAE,112,1,15.34574
394,P82034,0403040W0AAAEAE,28,8,30.76588
395,P82034,0403040W0BGAAAD,8,1,0.87907
396,P82034,0403040W0BNABAK,60,1,7.30509
397,P82034,0403040X0AAAAAA,84,1,3.15386
398,P82034,0403040X0AAAAAA,28,16,16.95288
399,P82034,0403040X0AAAJAJ,28,2,3.59065
400,P82034,0403040X0AAALAL,30,1,1.74208
401,P82034,0403040X0AAANAN,14,1,0.58923
402,P82034,0403040X0AAANAN,56,1,1.90102
403,P82034,0403040X0AAANAN,28,8,7.65367
404,P82034,0403040X0AAAPAP,28,5,6.37298
405,P82034,0403040X0AAAPAP,56,1,2.53679
406,P82034,0404000M0AAAAAA,120,1,11.08232
407,P82034,0404000M0AAAAAA,30,2,5.55976
408,P82034,0404000M0AAAAAA,90,1,8.31484
409,P82034,0404000M0AAAJAJ,30,1,3.37825
410,P82034,0404000M0AAAJAJ,60,1,6.74411
411,P82034,0404000M0AAAMAM,49,5,238.69621
412,P82034,0404000M0AAAMAM,30,1,29.17379
413,P82034,0404000M0AAANAN,30,5,198.50718
414,P82034,0404000M0AAARAR,30,4,137.67566
415,P82034,0404000M0AAAWAW,30,1,53.97827
416,P82652,0404000M0BDABAN,56,1,74.1986
417,P82034,0404000M0BGAEAQ,60,1,53.97827
418,P82034,0404000M0BGAEAQ,30,2,53.99067
419,P82034,0404000M0BGAFAV,30,1,31.48314
420,P82034,0404000M0BGAJBA,30,1,62.95388
421,P82034,0404000M0BKAAAM,30,1,14.57907
422,P82034,0404000M0BKACAN,30,1,19.85224
423,P82034,0404000M0BKADAR,30,2,68.83783
424,P82034,0404000S0BBAEAE,28,1,49.64941
425,P82034,0404000U0AAAAAA,28,1,51.07989
426,P82034,0404000U0AAABAB,28,10,544.64448
427,P82034,0404000U0AAADAD,28,3,192.45189
428,P82034,0404000U0AAAEAE,35,1,87.9799
429,P82034,0404000U0AAAEAE,28,1,70.30266
430,P82034,0404000U0AAAFAF,7,4,78.20084
431,P82034,0404000U0AAAFAF,28,2,155.52728
432,P82034,0404000V0AAAAAA,28,1,61.27095
433,P82034,0404000V0AAAAAA,7,4,61.70815
434,P82034,0404000V0AAABAB,28,1,71.21892
435,P82034,0404000V0AAADAD,28,1,54.72624
436,P82034,0405010P0AAAAAA,84,2,50.23213
437,P82652,0406000B0AAAAAA,56,3,2.32866
438,P82652,0406000B0AAAAAA,112,1,1.44939
439,P82652,0406000B0AAAAAA,84,13,13.16649
440,P82652,0406000B0AAAAAA,60,1,0.82297
441,P82652,0406000B0AAAAAA,28,7,3.1429
442,P82652,0406000B0AAABAB,56,1,1.07541
443,P82652,0406000B0AAABAB,84,5,7.30794
444,P82652,0406000D0AAAAAA,42,1,2.45915
445,P82652,0406000D0AAAAAA,56,2,6.48903
446,P82034,0406000S0AAABAB,60,1,4.38801
447,P82034,0406000T0AAAGAG,56,1,2.51809
448,P82034,0406000T0AAAGAG,28,6,7.59148
449,P82034,0406000T0AAAGAG,21,1,1.05671
450,P82034,0406000T0AAAGAG,84,1,3.77094
451,P82034,0406000T0AAAKAK,20,1,2.5246
452,P82034,0406000T0AAAKAK,8,2,2.15082
453,P82652,0407010F0AAAAAA,120,1,3.90183
454,P82652,0407010F0AAAAAA,32,1,1.15021
455,P82652,0407010F0AAAAAA,60,12,23.48539
456,P82652,0407010F0AAAAAA,150,1,4.88354
457,P82652,0407010F0AAAAAA,30,2,1.96952
458,P82652,0407010F0AAAAAA,50,1,1.73923
459,P82652,0407010F0AAAAAA,100,16,52.10736
460,P82652,0407010F0AAABAB,100,2,51.97116
461,P82652,0407010F0AAACAC,60,1,4.22622
462,P82652,0407010F0AAADAD,100,1,3.50915
463,P82652,0407010F0AAADAD,60,1,2.20671
464,P82652,0407010F0AAADAD,224,1,7.94736
465,P82652,0407010F0AAAFAF,100,1,8.41769
